run,seconds
0,0.017612
0,0.020579
0,0.016986
0,0.018686
0,0.020266
0,0.017682
0,0.018732
0,0.018403
0,0.016890
0,0.022310
0,0.020434
0,0.023011
0,0.023692
0,0.021625
0,0.022009
0,0.025717
0,0.019309
0,0.020074
0,0.017662
0,0.022606
0,0.015927
0,0.016985
0,0.023812
0,0.028162
0,0.024494
0,0.017199
0,0.017698
0,0.016614
0,0.018007
0,0.021750
0,0.019018
0,0.016528
0,0.018354
0,0.018710
0,0.020246
0,0.026885
0,0.016375
0,0.021551
0,0.018196
0,0.023211
0,0.022047
0,0.024583
0,0.022589
0,0.021118
0,0.016497
0,0.016947
0,0.017810
0,0.021052
0,0.017466
0,0.021678
0,0.024705
0,0.025855
0,0.020423
0,0.019769
0,0.024221
0,0.019949
0,0.018587
0,0.018723
0,0.021128
0,0.017843
0,0.017490
0,0.017102
0,0.019410
0,0.019316
0,0.020256
0,0.020294
0,0.017347
0,0.020615
0,0.021236
0,0.022088
0,0.021050
0,0.023738
0,0.023915
0,0.021348
0,0.032906
0,0.018648
0,0.016947
0,0.022938
0,0.017181
0,0.017348
0,0.016796
0,0.018945
0,0.029708
0,0.026471
0,0.023908
0,0.020943
0,0.016984
0,0.019101
0,0.019470
0,0.018631
0,0.018942
0,0.019812
0,0.019963
0,0.026291
0,0.016545
0,0.019509
0,0.020452
0,0.018595
0,0.018690
0,0.020727
0,0.019735
0,0.022482
0,0.027240
0,0.022461
0,0.020474
0,0.018027
0,0.024716
0,0.016980
0,0.017625
0,0.016833
0,0.018548
0,0.020145
0,0.029264
0,0.026017
0,0.019827
0,0.018834
0,0.021743
0,0.019507
0,0.018766
0,0.019959
0,0.028260
0,0.020681
0,0.019925
0,0.018527
0,0.015746
0,0.023079
0,0.026371
0,0.020508
0,0.016829
0,0.016959
0,0.019445
0,0.017901
0,0.025122
0,0.020681
0,0.018819
0,0.021140
0,0.018239
0,0.017207
0,0.020392
0,0.016405
0,0.017797
0,0.022643
0,0.018296
0,0.020020
0,0.017697
0,0.017384
0,0.023174
0,0.018113
0,0.018460
0,0.019069
0,0.016838
0,0.019511
0,0.017892
0,0.026882
0,0.020087
0,0.017801
0,0.024867
0,0.018354
0,0.016968
0,0.018821
0,0.018830
0,0.017282
0,0.019628
0,0.017406
0,0.017007
0,0.025501
0,0.018264
0,0.022232
0,0.017825
0,0.017950
0,0.020626
0,0.017030
0,0.020170
0,0.024144
0,0.017969
0,0.018472
0,0.017477
0,0.019884
0,0.018092
0,0.020997
0,0.018529
0,0.018292
0,0.020244
0,0.020053
0,0.016448
0,0.019222
0,0.017452
0,0.019995
0,0.018788
0,0.017245
0,0.017086
0,0.021321
0,0.026754
0,0.030858
0,0.022339
0,0.022748
0,0.018695
0,0.018134
0,0.017378
0,0.016970
0,0.015875
0,0.018403
0,0.018040
0,0.024202
0,0.028217
0,0.023334
0,0.016519
0,0.019605
0,0.019275
0,0.017492
0,0.023050
0,0.017023
0,0.019940
0,0.027402
0,0.018197
0,0.022205
0,0.018727
0,0.020349
0,0.018224
0,0.016746
0,0.017222
0,0.021937
0,0.021937
0,0.024590
0,0.023067
0,0.023205
0,0.022737
0,0.016391
0,0.017965
0,0.017006
0,0.016041
0,0.018265
0,0.021013
